TARGET_MONTH,PEAK_TYPE,EID
2023-07,OFF,3043
2023-07,OFF,1872
2023-07,OFF,7713
2023-07,ON,989
2023-07,OFF,12
2023-07,ON,1777
2023-07,OFF,5152
2023-07,OFF,495
2023-07,OFF,8002
2023-07,OFF,230
2023-07,ON,6378
2023-07,OFF,5488
2023-07,ON,5488
2023-07,OFF,5035
2023-07,OFF,989
2023-07,ON,5402
2023-07,ON,5731
2023-07,ON,4589
2023-07,OFF,5402
2023-07,OFF,1944
2023-07,ON,229
2023-07,OFF,4659
2023-07,ON,230
2023-07,OFF,1636
2023-07,OFF,36
2023-07,ON,4803
2023-07,OFF,6378
2023-07,ON,4857
2023-07,OFF,5731
2023-07,OFF,4589
2023-07,OFF,5304
2023-07,OFF,1536
2023-07,OFF,229
2023-07,ON,36
2023-07,OFF,6585
2023-07,ON,5152
2023-07,OFF,5049
2023-07,ON,6138
2023-07,OFF,4999
2023-07,ON,4768
2023-07,ON,699
2023-07,ON,1536
2023-07,OFF,5273
2023-07,ON,4547
2023-07,ON,5043
2023-07,OFF,7884
2023-07,OFF,5043
2023-07,ON,4908
2023-07,ON,5270
2023-07,OFF,1834
2023-07,ON,4999
2023-07,OFF,4857
2023-07,OFF,971
2023-07,ON,5040
2023-07,OFF,4547
2023-07,ON,1834
2023-07,ON,5049
2023-07,OFF,6138
2023-07,ON,6395
2023-07,ON,4821
2023-07,ON,8002
2023-07,ON,2832
2023-07,ON,1636
2023-07,OFF,4908
2023-07,OFF,8011
2023-07,OFF,6246
2023-07,ON,6585
2023-07,ON,4997
2023-07,ON,6246
2023-07,OFF,4997
2023-07,ON,1666
2023-07,OFF,7383
2023-07,OFF,2832
2023-07,ON,439
2023-07,ON,5573
2023-07,OFF,5573
2023-07,ON,7383
2023-07,ON,8011
2023-07,OFF,4768
2023-07,OFF,439
2023-08,ON,1947
2023-08,ON,1394
2023-08,ON,5304
2023-08,ON,2703
2023-08,OFF,2703
2023-08,ON,1872
2023-08,OFF,1872
2023-08,OFF,3216
2023-08,OFF,6406
2023-08,ON,4997
2023-08,OFF,1947
2023-08,OFF,2417
2023-08,ON,4589
2023-08,OFF,1599
2023-08,ON,2417
2023-08,OFF,989
2023-08,OFF,7884
2023-08,ON,5488
2023-08,OFF,868
2023-08,OFF,5488
2023-08,OFF,4589
2023-08,OFF,3
2023-08,ON,36
2023-08,OFF,8002
2023-08,ON,420
2023-08,ON,6138
2023-08,OFF,495
